Age_Group,Income,Credit_Score,Loan_Amount,Approved
Young,43303,831,33583,0
Adult,101743,812,26550,1
Senior,107852,655,5093,1
Adult,65187,698,40755,1
Senior,95034,661,14967,1
Young,101776,733,21218,1
Young,31893,662,48220,0
Senior,43753,615,13627,1
Young,68090,592,9947,0
Senior,94922,541,44419,1
Senior,106768,783,28178,1
Young,89412,709,33876,0
Adult,86030,705,27908,1
Young,47509,719,40912,0
Adult,98653,779,24971,1
Young,66929,635,37584,0
Young,78291,605,13959,0
Adult,34042,617,33261,0
Adult,92574,736,46065,1
Senior,67201,808,44462,1
Senior,122282,599,20835,1
Adult,44016,760,24257,1
Adult,55022,804,8346,1
Senior,130962,785,35807,1
Adult,57938,827,35418,1
Adult,73678,602,16340,0
Senior,148171,562,38012,1
Adult,131248,674,40393,1
Adult,91720,781,41617,1
Senior,135514,792,14597,1
Senior,86805,725,30557,1
Adult,104323,506,12737,1
Young,31986,626,49768,0
Adult,106478,591,46101,1
Young,112994,689,22276,0
Adult,42161,552,12310,1
Young,50689,741,40167,0
Senior,124699,631,42408,1
Young,90924,611,24344,0
Young,131311,506,15391,1
Adult,129273,729,15892,1
Adult,104308,655,16197,1
Young,131128,696,18050,1
Adult,93745,822,41142,1
Adult,31211,722,46615,0
Young,30229,749,48728,0
Young,148972,582,18535,1
Senior,78542,739,46002,1
Adult,44345,822,48271,0
Young,131489,762,10122,1
Senior,61819,688,14852,1
Senior,77779,789,10387,1
Adult,112421,557,36759,1
Adult,122244,508,45399,1
Senior,95584,803,44994,1
Senior,49950,614,42876,0
Adult,45173,709,39878,1
Adult,147743,540,38725,1
Adult,88032,803,12146,1
Adult,145074,672,5560,1
Young,129273,733,6312,1
Adult,58036,780,23205,1
Senior,142857,577,16595,1
Adult,101356,607,27030,1
Adult,44292,780,26329,1
Adult,33052,538,43142,0
Young,74377,618,7651,0
Adult,119317,834,15006,1
Adult,97838,835,47701,1
Young,97819,526,40645,0
Young,143689,603,26966,1
Senior,138103,573,32846,1
Young,45620,690,26774,0
Young,60461,823,9083,1
Senior,50750,646,38513,0
Adult,128426,754,13749,1
Adult,118719,783,35783,1
Senior,39472,712,22325,1
Young,99263,622,23680,0
Adult,142036,705,22323,1
Adult,87602,739,27684,1
Senior,55523,838,39493,1
Adult,60766,785,17213,1
Adult,133262,521,36831,1
Adult,96060,758,47296,1
Adult,39079,604,32713,1
Adult,38399,757,46621,0
Adult,90726,703,12187,1
Adult,122906,809,37800,1
Adult,46532,761,37583,1
Adult,112357,606,19408,1
Adult,73162,750,27369,1
Senior,33749,720,8414,1
Adult,41353,721,24510,1
Senior,142313,757,17120,1
Senior,58477,700,39311,1
Adult,54570,757,38039,1
Adult,116373,848,10295,1
Senior,41437,724,25460,1
Adult,68104,701,19963,1
Senior,93370,725,16580,1
Adult,34551,735,27286,1
Adult,98359,682,32328,1
Young,84880,699,24093,0
Adult,42916,745,26605,1
Senior,110703,610,49813,0
Adult,71445,505,47705,0
Adult,77636,735,11722,1
Senior,103927,626,45969,1
Adult,108194,603,41912,1
Adult,59685,736,43374,0
Adult,81134,654,11766,1
Adult,118916,756,20928,1
Young,137967,734,26274,1
Adult,124455,788,39416,1
Adult,97847,539,25612,1
Adult,69993,787,39898,1
Adult,74333,696,34047,1
Adult,138574,772,48356,1
Young,88865,763,42134,0
Adult,109096,556,6506,1
Young,79756,797,20222,0
Adult,91192,597,17363,1
Senior,90686,636,24613,1
Adult,78733,586,49563,0
Adult,134089,741,35628,1
Young,55993,698,47626,0
Young,60492,809,9136,0
Adult,50981,583,16161,0
Young,54143,741,40457,0
Adult,107603,780,28574,1
Young,119452,822,31902,1
Senior,90277,751,7810,1
Adult,137044,689,16663,1
Young,141957,651,11152,1
Senior,79990,801,5012,1
Adult,92888,777,16162,1
Young,99351,638,27322,0
Adult,127372,675,12999,1
Adult,79999,507,12219,0
Adult,133013,794,10328,1
Young,132811,734,8621,1
Adult,134879,662,29256,1
Young,100309,548,49433,0
Young,42446,801,16314,0
Senior,60733,537,5652,1
Adult,149156,635,21182,1
Adult,106000,809,46580,1
Adult,78632,718,41558,0
Young,51576,847,20659,0
Senior,33320,795,39413,1
Young,40750,533,15435,0
Young,133002,578,33067,0
Adult,83463,735,27258,1
Adult,56572,772,33287,1
Adult,148361,660,8688,1
Young,47948,674,12689,0
Adult,146528,807,6379,1
Adult,68826,720,42011,1
Young,119051,508,48005,0
Senior,57867,788,32624,1
Young,90231,612,30964,0
Adult,96262,704,27891,1
Adult,121356,685,43379,1
Young,102233,840,17516,1
Adult,74678,696,18886,1
Senior,137561,765,25307,1
Young,42963,761,29843,0
Senior,94360,747,10912,1
Adult,79434,614,26514,1
Young,96617,620,26823,0
Adult,50269,640,33797,0
Adult,147569,564,11449,1
Adult,106312,775,6725,1
Adult,127352,812,20870,1
Senior,109732,738,14304,1
Senior,147658,801,12522,1
Adult,137648,509,18663,1
Adult,111494,732,9784,1
Adult,118905,694,14472,1
Adult,107225,511,33952,1
Young,112867,676,15055,1
Adult,67528,676,34508,1
Adult,108972,716,17676,1
Young,95602,510,30192,0
Young,126261,617,29722,1
Adult,120748,663,12446,1
Adult,63332,538,9725,1
Adult,120937,552,25061,1
Adult,108929,717,27671,1
Adult,99206,705,6409,1
Adult,121137,811,13205,1
Young,32251,555,21365,0
Young,75717,617,5256,0
Adult,129108,752,20704,1
Adult,57027,785,34902,1
Young,127382,767,40758,0
Adult,116551,790,6195,1
Young,39583,832,39012,0
Adult,80387,679,16415,1
Adult,53104,734,44534,0
Adult,42224,842,26686,1
Senior,90624,695,16662,1
Young,86058,807,33743,0
Senior,134320,579,37161,1
Adult,126372,634,48081,1
Adult,59299,521,7402,1
Adult,108572,830,18275,1
Adult,115469,724,33182,1
Adult,107928,557,19915,1
Adult,103474,592,5909,1
Young,34141,691,5372,0
Young,53350,602,27620,0
Adult,105082,506,39112,0
Adult,100871,627,13515,1
Adult,35077,554,7431,0
Young,76015,730,26054,0
Adult,101147,561,37624,1
Senior,89180,739,15585,1
Senior,70857,589,36958,0
Adult,131196,731,6695,1
Adult,89840,732,39675,1
Senior,89902,832,38787,1
Adult,35577,791,49225,1
Adult,50002,844,6403,1
Senior,80711,651,22810,1
Adult,69451,644,13855,1
Adult,129811,629,43636,1
Young,79103,640,15839,0
Young,58647,592,5010,0
Senior,64831,613,44098,0
Adult,148330,783,14230,1
Adult,130304,642,45232,1
Young,126498,722,40771,0
Adult,143870,731,34256,1
Adult,125119,532,30651,1
Young,96830,775,37383,0
Senior,110632,669,44963,1
Young,66833,639,18662,0
Adult,142394,700,18739,1
Adult,122864,522,6789,1
Young,54398,723,24420,0
Senior,91554,769,28761,1
Adult,80755,846,45366,1
Adult,47706,652,42606,0
Young,52340,832,43640,0
Young,94994,584,49135,0
Young,93884,608,42067,0
Adult,114361,530,22357,1
Adult,47482,728,44851,0
Senior,84225,739,43262,1
Adult,88849,809,16317,1
Senior,104854,640,26534,1
Adult,71256,655,30734,1
Adult,139545,798,40897,1
Young,138721,844,37872,1
Adult,111110,598,45201,1
Young,143606,546,12689,1
Young,44650,826,8567,0
Adult,76118,566,25732,1
Senior,58930,561,25774,1
Young,115707,608,28195,0
Adult,130400,666,42412,1
Senior,41801,536,49098,0
Adult,81360,618,27257,1
Young,117908,585,9394,0
Young,46559,551,41302,0
Adult,62334,590,27228,1
Adult,135473,788,17388,1
Senior,43288,836,16319,1
Adult,52398,797,11475,1
Young,106230,703,36555,0
Young,42191,737,23158,0
Adult,48051,654,19728,1
Young,91715,739,49774,0
Adult,40737,635,34545,0
Adult,95140,563,36100,1
Young,55251,622,21150,0
Young,80975,753,38214,0
Adult,35147,613,37876,0
Young,80508,519,8239,0
Young,82224,515,43699,0
Adult,49643,644,41821,1
Senior,68967,707,35615,1
Young,128850,518,18746,1
Adult,133535,665,25921,1
Adult,70733,537,27745,0
Adult,114003,680,6245,1
Senior,64808,848,29853,1
Adult,149222,604,32632,1
Senior,97288,599,17856,1
Young,88959,589,10105,0
Young,31849,799,40690,0
Senior,98178,831,7513,1
Adult,97136,578,7801,1
Young,90740,572,37345,0
Adult,142255,675,18895,1
Senior,116322,595,44749,1
Senior,74565,844,13221,1
Adult,50183,602,11038,1
Senior,145306,723,37031,1
Young,31132,505,20082,0
Young,68259,621,19648,0
Adult,126612,735,5364,1
Young,93668,615,39568,0
Adult,68563,662,19110,1
Adult,122227,725,10958,1
Adult,138835,729,14096,1
Young,40931,681,12436,0
Young,103169,748,26177,0
Adult,80639,817,31754,1
Adult,133313,709,29544,1
Adult,88901,643,17638,1
Adult,130417,844,5179,1
Adult,31044,595,8873,0
Senior,76691,845,22570,1
Young,130735,743,22157,1
Young,54363,585,9460,0
Senior,76694,683,5352,1
Adult,31582,620,26586,0
Senior,109910,831,10344,1
Adult,96844,591,9507,1
Adult,51301,569,42598,0
Adult,104329,632,48988,1
Adult,31620,778,37885,0
Adult,92224,636,21865,1
Adult,86655,813,42055,1
Adult,125419,686,32213,1
Senior,67534,720,9477,1
Young,133496,545,11533,1
Young,69390,777,28396,0
Adult,101629,691,17755,1
Adult,85856,507,5865,1
Senior,79252,775,16173,1
Adult,85809,678,43097,1
Adult,52259,833,38371,1
Adult,50655,538,43524,0
Adult,63005,792,16254,1
Senior,61629,677,9018,1
Young,53610,661,10192,0
Adult,87184,830,7015,1
Senior,51602,603,47618,0
Senior,115945,660,8380,1
Adult,41110,786,33343,1
Adult,36073,622,8770,1
Young,130846,553,10829,1
Adult,110818,533,39381,1
Senior,40195,741,20545,0
Adult,31537,612,23263,0
Young,47138,817,43140,0
Young,74328,522,48306,0
Young,76202,545,30675,0
Young,70164,811,30362,0
Young,119743,634,5148,1
Adult,84659,617,6754,1
Young,116155,688,31745,0
Young,79692,630,12378,0
Adult,54845,711,25140,1
Young,119846,612,14371,0
Young,133435,543,31999,0
Adult,60562,627,17779,1
Young,58036,657,36075,0
Adult,90752,772,35697,1
Young,104233,814,14795,0
Adult,113049,839,43460,1
Senior,138575,544,9218,1
Adult,98681,607,42571,1
Adult,57818,718,16672,1
Senior,60544,817,36042,1
Adult,92532,814,40950,1
Young,108636,676,16009,0
Adult,87705,727,24544,1
Senior,50104,690,34381,0
Adult,99603,659,30287,1
Young,132499,766,7586,1
Adult,89025,825,7648,1
Senior,126264,689,45081,1
Young,62317,674,23101,0
Adult,61416,789,26692,1
Young,72012,644,12407,0
Adult,135585,731,22254,1
Young,98045,703,20234,1
Adult,51400,712,27211,1
Senior,78270,539,34480,1
Adult,102069,774,29846,1
Adult,149415,822,47503,1
Adult,79833,581,20321,1
Young,93644,680,17646,1
Adult,110206,819,27117,1
Young,99468,582,9893,0
Adult,142899,802,14476,1
Young,89473,761,22270,1
Adult,75809,771,26702,1
Senior,68328,699,9382,1
Senior,66784,739,6785,1
Adult,53723,679,16735,1
Young,90646,670,35177,0
Adult,96255,794,35712,1
Senior,30074,676,21679,0
Young,56498,736,48013,0
Senior,95522,637,40365,1
Adult,126881,826,22064,1
Senior,50541,810,35563,1
Senior,75929,628,38092,1
Senior,130453,548,31867,1
Adult,56028,663,38754,0
Young,59545,776,24502,0
Adult,109569,792,5760,1
Adult,61673,615,29142,0
Young,60974,523,49653,0
Adult,88899,810,46996,1
Adult,53097,524,22290,0
Adult,132511,626,10499,1
Adult,123144,733,5364,1
Young,94824,708,24797,0
Senior,53525,592,45795,0
Young,87804,593,37535,0
Adult,45043,826,21105,1
Adult,71846,724,12939,1
Senior,107261,779,18936,1
Young,132240,510,47029,0
Adult,137611,828,20863,1
Adult,80227,511,17561,1
Young,83028,534,15447,0
Adult,67383,727,35624,1
Senior,59483,719,49646,1
Senior,37265,640,17411,1
Young,52763,522,24465,0
Young,105652,582,43216,0
Adult,45733,728,24642,1
Adult,142196,843,36262,1
Young,121038,579,35363,0
Young,67420,789,7107,0
Senior,138777,830,12928,1
Senior,39247,658,24317,0
Young,53840,627,30017,0
Adult,95149,689,18528,1
Adult,51058,530,18313,0
Young,145229,514,6559,1
Adult,64929,812,20167,1
Adult,114171,574,20343,1
Senior,121164,533,43598,0
Adult,61362,695,12523,1
Adult,116489,830,33439,1
Adult,114664,528,20524,1
Young,77356,693,18285,0
Adult,107597,515,15973,1
Adult,36041,576,27694,0
Young,108209,792,40774,1
Young,91954,580,9302,1
Young,91869,623,27391,0
Senior,51059,518,9611,1
Young,129864,601,14372,1
Young,74722,576,29312,0
Adult,47548,728,19080,1
Adult,45078,796,20082,1
Young,35419,702,47861,0
Senior,65490,560,35677,0
Senior,106086,525,25874,1
Adult,145158,570,13378,1
Adult,88760,602,6597,1
Young,60337,825,16600,0
Adult,31468,656,8747,0
Adult,54309,693,18879,1
Young,96344,774,18017,1
Young,120283,823,29815,1
Adult,102255,685,23964,1
Young,111899,825,33812,0
Senior,58718,612,45200,0
Young,124337,812,29714,1
Adult,138895,664,23890,1
Adult,67841,560,9725,1
Adult,103548,591,48205,1
Adult,113565,785,25684,1
Adult,76660,652,31325,1
Senior,136553,724,37542,1
Adult,80281,626,18092,1
Adult,143451,692,35382,1
Adult,146041,614,44770,1
Adult,30767,761,30457,0
Adult,33895,517,11131,1
Senior,88026,509,30215,0
Young,148142,591,17612,1
Adult,72968,638,42305,1
Adult,70097,832,18091,1
Adult,45332,839,40103,1
Senior,44621,551,42089,0
Senior,106870,694,34759,1
Adult,48174,705,5559,1
Young,129189,786,5713,1
Young,70502,592,42361,0
Adult,66674,808,20184,1
Senior,67260,644,20261,1
Young,72498,585,25372,0
Young,97609,652,37140,0
Young,79464,501,38024,0
Senior,101805,841,37544,1
Adult,94919,759,5037,1
Adult,84469,663,48032,1
Adult,47194,505,17697,0
Senior,56811,648,46420,0
Adult,102377,704,36707,1
Adult,73723,617,31016,1
Young,130336,588,39600,0
Adult,105235,653,28984,1
Adult,141041,666,10167,1
Senior,106298,660,5432,1
Young,89238,769,9151,0
Young,135433,555,11411,0
Young,147393,727,35788,1
Adult,137092,836,31623,1
Senior,32147,648,27104,0
Young,128919,545,5256,0
Adult,129251,643,38439,1
Adult,68445,737,38257,1
Young,83803,771,44657,0
Adult,91108,619,49674,1
Young,136170,839,23066,1
Adult,32013,719,37746,0
Adult,115617,507,7460,1
Adult,112410,843,42297,1
Young,83502,774,39743,0
Senior,147116,565,8216,1
Adult,67755,578,19267,1
Adult,38733,585,14581,0
Young,39479,623,9515,0
Young,105361,701,27076,1
Young,51304,649,49816,0
Young,65694,545,14776,0
Adult,135586,612,26947,1
Senior,111171,590,7963,1
Adult,144151,640,11786,1
Young,116296,788,18866,1
Adult,39490,717,43968,0
Young,51252,576,37305,0
Adult,135290,833,22360,1
Adult,36862,651,45113,0
Adult,140463,822,37813,1
Senior,99959,738,6193,1
Young,40450,614,9512,0
Adult,86022,818,27666,1
Senior,91991,593,21630,1
Adult,70927,547,13983,0
Adult,130377,690,5636,1
Senior,118090,511,8775,1
Young,79853,655,7421,0
Senior,61826,671,18025,1
Young,72879,795,14280,1
Adult,87265,676,41951,1
Senior,102361,840,16351,1
Young,138956,556,43091,0
