Gender,Experience_Years,Education_Level,Technical_Score,Hired
Female,14,Bachelors,85,1
Female,8,Bachelors,91,1
Female,9,Masters,97,0
Female,13,Masters,68,0
Male,8,Masters,59,1
Female,14,Bachelors,61,0
Male,6,Bachelors,69,0
Female,3,Bachelors,43,0
Female,4,Bachelors,52,0
Male,0,Bachelors,98,0
Male,13,Bachelors,62,1
Male,0,Bachelors,47,0
Male,2,Bachelors,57,0
Female,12,Bachelors,51,0
Female,13,Bachelors,94,1
Male,7,Masters,75,1
Male,13,Bachelors,53,1
Male,1,PhD,83,0
Male,3,Masters,62,0
Male,1,Bachelors,95,0
Male,13,Masters,78,0
Female,4,Bachelors,50,0
Male,8,Bachelors,80,1
Male,0,Bachelors,51,0
Female,4,Bachelors,88,0
Male,13,Bachelors,54,0
Female,14,Bachelors,96,1
Female,8,Masters,75,0
Male,14,Masters,93,1
Male,0,Bachelors,97,0
Male,8,Masters,73,0
Male,7,Bachelors,65,0
Male,3,Bachelors,57,0
Female,11,Masters,76,0
Male,10,Bachelors,61,1
Male,9,Bachelors,77,1
Male,4,Bachelors,56,0
Female,12,Bachelors,62,0
Male,4,PhD,73,0
Male,10,Bachelors,89,1
Male,11,PhD,57,1
Female,5,Bachelors,80,0
Male,6,Bachelors,45,0
Female,7,Bachelors,44,0
Female,14,Masters,88,0
Male,13,Bachelors,96,1
Female,7,Masters,73,0
Male,10,Masters,72,1
Female,13,Bachelors,50,0
Female,12,PhD,100,1
Male,1,Masters,45,0
Male,8,Masters,87,1
Female,6,Bachelors,58,0
Male,3,Bachelors,48,0
Male,3,Bachelors,66,0
Male,10,Bachelors,73,1
Female,7,Bachelors,83,0
Female,3,Masters,48,0
Male,12,Bachelors,75,1
Male,14,Bachelors,57,1
Male,5,PhD,64,1
Female,4,Masters,95,0
Male,2,Bachelors,52,0
Female,12,Masters,63,0
Male,13,Bachelors,88,1
Female,9,Bachelors,45,0
Male,10,Masters,92,1
Male,1,Bachelors,95,1
Male,8,Bachelors,51,0
Female,9,Bachelors,90,0
Female,8,Bachelors,76,0
Male,0,Bachelors,56,0
Female,9,Bachelors,97,0
Female,2,Masters,67,0
Female,7,Masters,70,0
Male,5,Bachelors,68,1
Male,4,Bachelors,72,0
Male,4,Bachelors,99,1
Female,5,Bachelors,66,0
Female,14,Masters,69,0
Female,6,Bachelors,95,0
Male,0,Bachelors,94,0
Male,8,Masters,54,0
Female,2,Masters,91,0
Female,3,Masters,67,0
Female,9,Bachelors,60,0
Female,0,Bachelors,60,0
Female,12,Bachelors,82,0
Male,10,Bachelors,52,1
Male,9,Masters,81,1
Female,2,Masters,77,0
Female,1,Masters,68,0
Male,1,Masters,88,0
Male,13,Bachelors,50,1
Female,0,Masters,61,0
Male,7,Bachelors,43,0
Male,2,Bachelors,86,0
Male,2,Bachelors,64,1
Female,5,Bachelors,69,0
Female,12,Bachelors,48,0
Male,7,PhD,70,0
Female,12,Bachelors,59,0
Male,14,Bachelors,58,1
Male,8,Bachelors,58,0
Female,8,Masters,56,0
Female,3,Bachelors,76,0
Female,13,Masters,86,0
Female,4,Bachelors,56,0
Female,1,Masters,81,0
Male,10,Bachelors,93,1
Male,8,Masters,92,1
Male,7,Masters,83,1
Male,2,Bachelors,67,0
Female,10,Bachelors,80,0
Male,11,Bachelors,74,1
Female,12,Bachelors,86,1
Female,8,Bachelors,87,0
Female,2,Masters,62,0
Male,8,Bachelors,53,1
Female,1,Bachelors,74,0
Male,11,Bachelors,83,1
Male,9,Bachelors,80,0
Female,8,Masters,100,0
Male,14,Bachelors,46,1
Male,7,Masters,85,0
Female,8,Masters,57,0
Male,4,Masters,62,0
Female,10,Masters,81,0
Female,10,Bachelors,52,0
Female,1,PhD,85,0
Male,7,Bachelors,70,1
Male,11,Bachelors,41,1
Female,14,Masters,60,0
Male,5,PhD,58,1
Female,7,Masters,53,0
Female,10,Bachelors,77,0
Female,4,Bachelors,50,0
Male,9,PhD,100,1
Male,1,Bachelors,95,1
Female,5,Masters,66,0
Male,4,Masters,77,1
Male,11,Bachelors,75,1
Female,12,Bachelors,84,0
Female,11,Bachelors,62,0
Female,4,Bachelors,84,0
Female,12,Masters,89,1
Male,0,Bachelors,73,0
Female,1,Masters,53,0
Female,7,Bachelors,63,0
Male,12,PhD,57,0
Male,13,Bachelors,46,1
Female,12,Bachelors,75,0
Female,2,Bachelors,57,0
Female,9,Masters,47,0
Female,2,Masters,72,0
Male,7,Masters,50,0
Male,7,Bachelors,83,1
Female,1,Bachelors,83,0
Female,7,Bachelors,60,0
Female,10,Bachelors,67,0
Female,12,Bachelors,79,0
Male,12,PhD,100,1
Male,0,PhD,100,0
Female,5,PhD,50,0
Female,7,Masters,80,0
Female,2,Bachelors,60,0
Female,7,Bachelors,99,0
Female,11,Bachelors,82,0
Male,0,Masters,79,1
Male,10,Bachelors,52,0
Male,10,Bachelors,96,1
Female,8,Bachelors,88,0
Male,12,Bachelors,93,1
Male,10,Masters,98,1
Male,12,Masters,54,1
Male,8,Bachelors,92,1
Female,4,PhD,93,0
Male,9,Masters,91,1
Male,3,Bachelors,92,0
Female,14,Bachelors,49,0
Male,10,Bachelors,85,1
Male,5,Bachelors,52,0
Male,11,PhD,86,1
Female,6,Bachelors,77,0
Male,4,Masters,68,0
Female,10,Bachelors,41,0
Male,12,Bachelors,61,1
Male,9,Bachelors,56,0
Male,8,Bachelors,75,1
Male,2,Bachelors,53,0
Female,14,PhD,59,0
Female,6,Bachelors,74,0
Female,9,Masters,69,0
Male,9,Bachelors,42,0
Male,10,Bachelors,86,1
Female,4,Bachelors,77,0
Male,13,Bachelors,56,0
Male,6,Bachelors,51,0
Male,14,Bachelors,93,1
Male,1,Bachelors,91,0
Female,3,Bachelors,63,0
Female,1,Bachelors,68,0
Female,13,Bachelors,82,0
Male,12,PhD,74,1
Male,12,Masters,80,1
Male,11,Bachelors,97,1
Male,6,Bachelors,99,1
Male,1,PhD,75,0
Female,12,Masters,82,0
Female,13,Bachelors,40,0
Male,10,Masters,64,1
Female,0,Bachelors,94,0
Female,8,Bachelors,67,0
Female,0,Masters,60,0
Female,7,Bachelors,86,0
Male,14,PhD,66,0
Male,1,Masters,84,0
Male,11,Bachelors,67,1
Female,7,Bachelors,97,0
Male,12,Bachelors,51,1
Male,2,Bachelors,66,0
Male,5,Masters,98,1
Male,2,Bachelors,92,1
Female,13,Bachelors,81,0
Female,6,Masters,100,0
Male,9,Bachelors,86,1
Male,8,Masters,74,1
Male,1,Bachelors,80,0
Male,14,PhD,83,1
Male,11,Bachelors,76,1
Male,11,Bachelors,45,0
Male,14,Bachelors,46,0
Female,13,Bachelors,71,0
Female,4,Masters,76,0
Male,12,Masters,97,1
Male,5,Masters,69,0
Female,3,Bachelors,72,0
Male,3,Bachelors,94,1
Female,3,Bachelors,97,0
Female,1,Bachelors,46,0
Male,3,Masters,96,1
Male,10,Bachelors,96,1
Female,0,Bachelors,51,0
Male,11,Bachelors,55,0
Female,5,Masters,60,0
Female,0,Masters,87,0
Female,9,Masters,97,0
Male,5,Bachelors,75,1
Female,0,Bachelors,52,0
Male,5,Masters,51,0
Male,9,Masters,80,1
Female,7,Bachelors,86,0
Male,10,Masters,95,1
Female,1,Masters,53,0
Female,1,Masters,76,0
Male,13,Masters,55,1
Male,14,Bachelors,47,0
Male,12,Bachelors,72,1
Male,11,Bachelors,62,0
Male,3,Masters,69,0
Female,10,Masters,100,1
Male,2,Masters,52,0
Male,3,Bachelors,84,0
Female,12,Masters,66,0
Male,11,Masters,100,1
Female,6,Masters,48,0
Male,12,Masters,84,0
Male,10,Masters,47,1
Female,0,Bachelors,68,0
Female,5,Bachelors,80,0
Female,14,Bachelors,68,0
Female,14,Bachelors,73,1
Female,2,Masters,78,0
Male,10,Masters,72,0
Male,9,Bachelors,52,0
Female,6,Bachelors,54,0
Female,9,Masters,100,0
Female,1,Bachelors,62,0
Male,13,Bachelors,83,0
Male,1,Bachelors,65,0
Female,12,Bachelors,43,0
Male,3,Bachelors,65,0
Female,0,Bachelors,79,0
Female,2,Bachelors,48,0
Male,12,Masters,99,1
Female,8,Bachelors,44,0
Female,6,Masters,100,1
Male,14,Bachelors,71,1
Female,6,Bachelors,59,0
Male,12,Masters,94,1
Female,12,Bachelors,50,0
Male,10,Bachelors,54,0
Female,3,Bachelors,71,0
Male,1,Masters,72,0
Male,14,Bachelors,61,1
Female,13,Bachelors,80,1
Male,3,Masters,61,0
Male,5,Bachelors,98,1
Female,10,Masters,70,0
Female,10,Masters,88,0
Female,2,PhD,56,0
Female,0,Bachelors,81,0
Male,13,Masters,100,1
Male,11,Bachelors,65,0
Male,7,Bachelors,64,1
Female,11,Bachelors,49,0
Female,12,Masters,100,1
Female,4,Bachelors,84,0
Female,14,Bachelors,58,1
Male,4,Bachelors,50,0
Male,10,Masters,57,1
Male,3,Masters,97,1
Male,5,Masters,52,0
Male,2,Bachelors,79,0
Female,8,Bachelors,43,0
Male,4,Masters,91,1
Male,2,Bachelors,70,0
Male,10,Bachelors,67,1
Female,0,Masters,55,0
Female,9,PhD,92,0
Male,11,Masters,45,1
Male,5,Masters,93,1
Female,14,PhD,96,1
Male,1,Bachelors,91,0
Female,12,Bachelors,77,0
Female,2,PhD,73,0
Male,0,Bachelors,93,1
Male,8,Masters,100,1
Female,7,Bachelors,96,0
Male,11,Bachelors,86,0
Male,1,Masters,75,0
Female,14,PhD,90,1
Female,11,Masters,90,1
Female,10,Bachelors,89,1
Female,7,Masters,70,0
Male,11,Bachelors,88,1
Male,13,Bachelors,89,1
Female,8,Bachelors,44,0
Female,0,Bachelors,59,0
Male,12,Bachelors,91,1
Female,4,PhD,90,0
Male,7,Masters,55,1
Male,14,Masters,100,1
Male,10,Bachelors,93,1
Male,13,PhD,82,1
Male,1,PhD,99,1
Male,3,Masters,82,1
Male,6,Bachelors,66,0
Female,2,Bachelors,73,0
Female,12,Bachelors,54,0
Female,11,Bachelors,71,0
Female,4,Bachelors,97,0
Male,7,PhD,70,1
Male,11,Bachelors,85,1
Female,9,Bachelors,44,0
Male,2,Bachelors,45,0
Female,3,Bachelors,77,0
Male,13,Bachelors,61,1
Female,14,Bachelors,57,0
Male,8,Bachelors,53,1
Female,13,Masters,54,0
Male,13,PhD,95,1
Female,6,Bachelors,52,0
Male,0,Bachelors,70,0
Female,13,Masters,74,0
Female,11,Bachelors,42,0
Male,3,Bachelors,69,0
Female,3,Masters,50,0
Female,8,Bachelors,68,0
Male,5,Masters,52,0
Female,8,Bachelors,83,0
Female,11,Bachelors,84,0
Female,14,Bachelors,82,1
Male,5,Masters,88,0
Male,5,Bachelors,72,0
Female,4,Bachelors,56,0
Female,4,Masters,92,0
Male,1,Bachelors,50,0
Female,7,Bachelors,52,0
Male,7,Masters,94,1
Male,10,Bachelors,50,0
Male,12,Masters,75,1
Male,0,Masters,72,0
Female,7,Masters,88,0
Male,4,Bachelors,45,0
Female,1,PhD,90,0
Female,13,Bachelors,55,0
Female,1,Masters,48,0
Male,13,Bachelors,74,0
Male,14,Bachelors,99,1
Female,14,Bachelors,87,0
Female,5,PhD,100,0
Male,10,PhD,100,1
Female,12,Bachelors,65,0
Female,8,Bachelors,96,0
Female,0,Masters,56,0
Female,11,Bachelors,50,0
Female,5,Bachelors,76,0
Male,8,Masters,69,0
Female,7,Bachelors,57,0
Female,10,PhD,68,0
Male,5,Bachelors,62,1
Male,2,Bachelors,94,1
Male,7,Bachelors,77,0
Female,8,Masters,98,0
Female,0,Bachelors,57,0
Male,11,Masters,70,0
Female,8,Bachelors,45,0
Male,13,Masters,48,1
Female,14,Bachelors,83,1
Female,5,Bachelors,90,0
Female,5,Masters,73,0
Male,11,Bachelors,98,1
Male,3,Bachelors,73,0
Male,0,Masters,61,0
Male,9,Bachelors,82,1
Female,7,Masters,87,0
Female,1,Bachelors,92,0
Female,11,Masters,60,0
Female,0,Bachelors,41,0
Female,1,Bachelors,73,0
Female,0,PhD,100,0
Female,0,Masters,52,0
Female,8,Bachelors,52,0
Male,12,Bachelors,81,1
Male,13,Masters,52,0
Male,0,Bachelors,69,0
Female,12,Masters,76,0
Female,3,Masters,80,0
Male,9,Bachelors,86,1
Female,5,Bachelors,69,0
Female,6,Masters,45,0
Male,1,Bachelors,82,1
Male,5,Bachelors,78,0
Female,6,PhD,66,0
Male,9,Bachelors,98,1
Female,13,Masters,64,0
Male,9,Bachelors,63,1
Female,1,Bachelors,89,0
Female,14,Bachelors,61,0
Female,1,Bachelors,68,0
Female,9,Bachelors,61,0
Male,6,Bachelors,83,1
Male,11,Masters,53,0
Male,0,Bachelors,76,0
Female,7,Bachelors,49,0
Female,10,Bachelors,75,0
Female,12,Bachelors,76,1
Male,2,Bachelors,67,0
Male,10,Bachelors,67,1
Male,5,Bachelors,81,1
Male,8,Bachelors,82,1
Female,5,Bachelors,60,0
Male,8,Masters,68,0
Male,6,Bachelors,81,0
Female,14,Bachelors,99,1
Male,8,Masters,84,1
Male,1,Bachelors,41,0
Female,11,Masters,99,1
Male,7,Bachelors,47,0
Female,7,Bachelors,87,0
Female,1,Bachelors,66,0
Female,11,Bachelors,61,0
Male,13,Masters,81,1
Female,3,Bachelors,66,0
Male,13,Masters,100,1
Male,14,Bachelors,68,1
Male,10,Bachelors,42,0
Female,14,Bachelors,83,1
Male,6,Bachelors,52,0
Male,10,Bachelors,84,1
Female,3,Masters,54,0
Male,3,Masters,80,0
Male,5,Bachelors,48,0
Male,9,Masters,98,1
Male,5,PhD,100,1
Male,9,Masters,99,1
Male,14,Bachelors,66,1
Female,2,Masters,78,0
Male,14,Bachelors,90,1
Male,8,PhD,50,0
Female,11,Bachelors,71,0
Male,9,Bachelors,64,1
Female,13,Masters,73,0
Male,10,Bachelors,46,0
Male,1,PhD,98,1
Male,5,PhD,52,0
Male,11,Masters,64,1
Male,6,Bachelors,59,0
Male,11,Masters,97,1
Male,12,Bachelors,69,1
Male,8,Bachelors,74,1
Male,12,Masters,79,1
Male,2,Bachelors,88,0
Male,9,Bachelors,78,1
Male,2,PhD,76,0
Female,6,Bachelors,65,0
Male,13,Bachelors,53,1
Female,3,PhD,66,0
Female,12,Bachelors,57,0
Male,7,Masters,89,1
Female,12,PhD,100,1
Female,6,PhD,78,0
Male,4,Masters,64,0
Male,6,Bachelors,92,1
Female,2,Bachelors,66,0
Female,11,Masters,62,0
Male,1,Masters,48,0
Male,5,Bachelors,40,0
Male,1,Bachelors,89,1
Male,2,Bachelors,40,0
Female,5,Bachelors,97,0
Male,4,Masters,70,0
Male,7,Bachelors,84,1
Female,8,PhD,69,0
Male,10,Masters,96,1
Male,2,Bachelors,62,0
Female,11,Masters,54,0
Female,9,Bachelors,98,0
Male,2,Bachelors,50,0
Male,2,Masters,85,0
Male,12,Masters,85,1
Male,12,Masters,49,0
Male,5,Bachelors,97,0
Male,14,Bachelors,40,0
Male,14,Masters,61,1
Male,0,Bachelors,61,0
Male,6,Bachelors,73,1
Male,11,Bachelors,95,1
Male,0,Masters,89,0
Male,13,Bachelors,80,1
Male,4,Masters,73,0
Female,14,PhD,53,0
Female,9,Bachelors,44,0
Female,12,Bachelors,50,0
Female,7,Bachelors,95,0
Male,3,Masters,95,0
Male,4,Bachelors,60,0
Male,3,Bachelors,74,0
Female,11,Bachelors,51,0
Female,11,Masters,70,0
Male,13,Bachelors,90,1
Male,3,Masters,63,1
Male,11,PhD,94,1
Male,7,Bachelors,99,1
Female,1,Masters,51,0
Female,0,Bachelors,86,0
Male,2,Masters,99,0
Female,8,Masters,51,0
Female,3,Masters,70,0
Male,9,Bachelors,79,1
Male,4,Bachelors,44,0
Male,1,Bachelors,60,0
Male,3,Bachelors,53,0
Male,1,Bachelors,43,0
Male,14,Bachelors,62,1
Male,1,Bachelors,81,0
Male,3,Bachelors,59,0
Female,5,Masters,59,0
Male,6,Bachelors,89,1
Male,9,Bachelors,91,1
Male,2,Bachelors,84,0
Female,2,Bachelors,68,0
Male,9,PhD,57,0
Male,5,Bachelors,80,1
Female,12,Masters,92,1
Female,11,PhD,68,0
Female,2,Masters,92,0
Male,12,Masters,83,1
Male,1,Masters,90,0
Female,7,PhD,77,0
Female,4,Masters,90,0
Female,14,Bachelors,96,0
Female,0,Masters,71,0
Male,2,Bachelors,43,0
Female,9,Masters,100,0
Male,7,Bachelors,54,0
Male,3,Bachelors,74,1
Male,13,Bachelors,76,1
Male,6,Bachelors,40,0
Male,9,Bachelors,42,0
Male,11,Bachelors,86,1
Female,13,Bachelors,63,0
Male,13,Bachelors,66,1
Female,1,Masters,84,0
Male,6,Bachelors,75,0
Male,4,Bachelors,73,1
Male,4,Masters,73,0
Male,5,Bachelors,63,0
Male,12,Bachelors,63,0
Male,8,Masters,86,1
Male,13,Masters,48,0
Female,5,Bachelors,42,0
Male,11,Bachelors,73,0
Female,12,PhD,100,0
Male,14,Masters,93,1
Female,13,Bachelors,62,0
Female,7,Masters,97,0
Female,6,Bachelors,95,0
Male,8,Bachelors,91,1
Male,3,Bachelors,62,0
Male,1,Masters,89,0
Female,6,Bachelors,44,0
Female,5,Masters,75,0
Female,0,Bachelors,92,0
Male,10,Bachelors,80,0
Female,8,Bachelors,96,1
Female,8,Masters,100,0
Male,11,Bachelors,99,1
Male,1,Bachelors,93,0
Female,2,Masters,50,0
Female,4,Bachelors,76,0
Female,4,PhD,100,0
Male,14,Bachelors,49,0
Female,0,Masters,84,0
Male,7,Bachelors,46,0
Male,11,PhD,88,1
Male,7,Bachelors,77,0
Female,3,Bachelors,60,0
Female,12,Bachelors,59,0
Male,6,Bachelors,42,0
Male,14,Bachelors,90,1
Female,14,PhD,71,0
Male,10,Bachelors,86,1
Female,9,Masters,48,0
Male,2,Masters,72,0
Male,5,Masters,56,0
Male,13,Bachelors,77,1
Male,9,Bachelors,90,1
Female,12,Masters,80,0
Male,9,PhD,96,1
Male,11,Bachelors,80,1
Female,13,Bachelors,44,0
Male,8,Bachelors,52,0
Male,0,PhD,72,0
Female,4,Bachelors,97,0
Female,3,Bachelors,89,0
Male,7,Masters,74,0
Female,10,Bachelors,76,0
Female,11,Bachelors,64,0
Male,0,Masters,92,0
Male,8,PhD,76,1
Female,5,Bachelors,90,0
Female,3,Bachelors,53,0
Male,11,Bachelors,96,1
Female,8,Bachelors,87,0
Female,10,Masters,100,0
Male,4,Bachelors,86,0
Male,14,Bachelors,93,1
Male,4,Bachelors,75,0
Female,11,Bachelors,78,0
Male,4,Bachelors,55,0
Female,0,Masters,100,0
Female,0,Bachelors,61,0
Female,7,Masters,65,0
Male,11,Masters,98,1
Female,7,Bachelors,60,0
Male,11,Bachelors,47,0
Female,14,Bachelors,88,1
Male,14,Bachelors,55,0
Male,5,Bachelors,98,1
Female,11,Bachelors,94,0
Male,10,Bachelors,70,0
Male,12,Masters,86,1
Female,3,Bachelors,49,0
Female,1,Masters,76,0
Female,13,Bachelors,98,1
Female,1,Masters,78,0
Male,8,Bachelors,48,0
Male,14,Bachelors,56,1
Male,4,Masters,55,0
Male,3,Bachelors,71,0
Female,9,Bachelors,49,0
Female,12,PhD,71,0
Male,0,Bachelors,96,0
Male,6,Bachelors,56,0
Female,2,Masters,48,0
Male,5,Masters,92,1
Female,4,Masters,96,0
Male,4,Bachelors,86,1
Female,10,Masters,69,0
Male,4,Bachelors,98,1
Female,0,Masters,65,0
Female,0,PhD,86,0
Female,2,Masters,82,0
Female,13,Masters,93,0
Female,11,Bachelors,40,0
Female,9,Masters,69,0
Male,3,Masters,95,1
Female,4,Bachelors,75,0
Female,1,Masters,61,0
Male,7,Bachelors,80,1
Female,10,Masters,68,1
Female,10,Masters,46,0
Female,13,Masters,84,0
Male,1,Bachelors,54,0
Male,8,Bachelors,71,1
Female,1,Bachelors,78,0
Female,12,PhD,100,1
Male,8,Bachelors,45,0
Female,6,Bachelors,40,0
Female,14,Masters,91,0
Male,7,Bachelors,62,0
Female,14,Masters,100,0
Male,10,Masters,83,1
Male,1,Masters,100,0
Male,6,Bachelors,56,0
Female,11,Bachelors,73,0
Male,5,Bachelors,98,1
Male,3,Bachelors,80,0
Male,6,Bachelors,68,1
Male,13,Bachelors,48,1
Female,12,Masters,57,0
Male,3,Masters,50,0
Male,1,Bachelors,45,0
Female,9,Masters,64,0
Male,11,PhD,100,1
Male,6,Masters,97,1
Male,7,Masters,47,0
Male,1,Bachelors,56,0
Male,4,Bachelors,88,1
Male,0,Bachelors,51,0
Male,6,Bachelors,87,1
Female,7,PhD,96,0
Male,12,Masters,89,1
Female,5,Bachelors,94,0
Female,4,Bachelors,40,0
Male,14,Masters,61,1
Female,5,Bachelors,42,0
Male,14,Bachelors,65,1
Female,1,Masters,59,0
Male,0,Bachelors,75,1
Male,6,Bachelors,71,0
Male,6,Bachelors,71,0
Female,9,Masters,48,0
Male,10,Bachelors,57,0
Female,9,Bachelors,88,0
Male,13,Bachelors,58,1
Female,1,Bachelors,82,0
Male,1,Bachelors,91,1
Female,0,Masters,79,0
Male,9,Bachelors,79,1
Male,7,Masters,58,1
Male,14,Bachelors,97,1
Male,7,Bachelors,72,0
Female,0,Bachelors,53,0
Male,11,Bachelors,73,1
Female,10,Bachelors,94,1
Male,7,Bachelors,43,0
Male,8,Bachelors,63,0
Male,13,Masters,100,1
Male,3,Bachelors,68,0
Female,0,Masters,63,0
Male,0,PhD,55,0
Male,2,Bachelors,96,1
Female,14,Bachelors,72,0
Female,13,Bachelors,88,0
Male,4,Bachelors,79,0
Male,4,Bachelors,58,0
Female,8,Masters,97,0
Male,9,Bachelors,40,0
Male,13,Bachelors,44,1
Male,11,Masters,71,1
Female,1,Bachelors,55,0
Female,1,Masters,50,0
Male,5,Bachelors,79,1
Male,14,Bachelors,52,0
Male,8,Bachelors,87,1
Female,0,Bachelors,74,0
Male,8,PhD,68,1
Male,8,Bachelors,51,0
Female,12,PhD,65,0
Male,8,Bachelors,98,0
Female,4,Bachelors,82,0
Male,12,Bachelors,49,0
Male,14,Bachelors,64,0
Male,8,PhD,69,0
Female,10,Bachelors,70,0
Female,3,Bachelors,43,0
Female,1,Bachelors,83,0
Male,12,Bachelors,62,1
Female,5,Bachelors,41,0
Male,13,Bachelors,95,1
Male,3,Masters,66,1
Female,5,Bachelors,90,0
Male,2,Bachelors,96,0
Male,5,Bachelors,76,1
Male,1,Bachelors,47,0
Male,1,PhD,56,0
Male,12,Bachelors,53,0
Female,8,Bachelors,95,1
Male,6,Masters,99,1
Female,2,Bachelors,42,0
Female,12,Bachelors,89,0
Male,10,PhD,65,1
Male,0,Masters,99,1
Male,7,PhD,68,0
Female,13,Bachelors,90,0
Male,5,Bachelors,57,0
Female,6,Bachelors,91,0
Male,8,Bachelors,55,1
Female,4,Masters,52,0
Male,14,Bachelors,99,1
Male,0,Masters,77,0
Female,11,Masters,93,0
Female,9,Bachelors,51,0
Male,6,Bachelors,92,1
Female,14,Masters,55,0
Male,4,Bachelors,44,0
Female,2,Masters,71,0
Female,11,Bachelors,51,0
Male,12,Bachelors,56,0
Male,8,Bachelors,45,0
Male,0,PhD,82,1
Male,0,Bachelors,44,0
Female,0,Masters,100,0
Male,2,Bachelors,67,0
Male,11,Masters,58,1
Female,5,Masters,49,0
Female,9,Bachelors,93,0
Male,10,Bachelors,95,1
Male,2,Masters,100,1
Male,7,Bachelors,72,1
Male,13,Masters,94,1
Female,13,Bachelors,87,0
Male,9,Masters,85,1
Female,1,Masters,63,0
Male,13,PhD,71,0
Female,8,Bachelors,44,0
Female,2,Bachelors,98,0
Female,4,Bachelors,41,0
Male,9,Bachelors,69,0
Male,7,Bachelors,86,1
Male,1,Bachelors,78,0
Female,5,Masters,48,0
Female,11,Bachelors,72,0
Female,4,Bachelors,52,0
Female,12,Masters,64,0
Female,9,Bachelors,93,0
Male,8,Bachelors,46,0
Female,11,PhD,64,0
Male,4,PhD,72,0
Male,1,Bachelors,53,1
Male,4,Bachelors,62,0
Male,14,Masters,63,0
Male,11,Bachelors,93,1
Female,3,Bachelors,68,0
Male,14,Bachelors,95,1
Female,10,Bachelors,59,0
Male,6,Bachelors,68,0
Male,5,Bachelors,63,0
Male,13,Masters,62,0
Male,1,PhD,59,0
Female,11,Bachelors,80,0
Male,10,Masters,100,1
Female,10,Masters,52,0
Male,12,Bachelors,65,0
Female,4,Bachelors,68,0
Female,6,Masters,54,0
Female,10,Bachelors,56,0
Male,6,Masters,46,0
Male,14,Bachelors,45,0
Male,4,PhD,100,1
Female,11,Bachelors,44,0
Male,14,Bachelors,67,1
Male,8,Masters,85,1
Female,3,Bachelors,44,0
